HEA	Pt	Ru	Pd	Rh	Au	Onset	
63	3	83	8	4	2	0.470968	
64	6	82	1	1	10	0.484928	
64	6	82	1	1	10	0.49997	
64	6	82	1	1	10	0.495951	
65	52	32	3	7	6	0.477995	
65	52	32	3	7	6	0.474975	
65	52	32	3	7	6	0.472981	
66	42	42	8	3	5	0.47099	
66	42	42	8	3	5	0.464966	
66	42	42	8	3	5	0.463972	
67	41	45	2	10	2	0.466926	
67	41	45	2	10	2	0.467927	
67	41	45	2	10	2	0.467954	
70	23	2	24	40	11	0.585919	
70	23	2	24	40	11	0.581932	
70	23	2	24	40	11	0.583942	
71	25	9	22	41	3	0.513953	
71	25	9	22	41	3	0.51497	
71	25	9	22	41	3	0.515005	
72	21	4	25	32	18	0.56598	
72	21	4	25	32	18	0.547901	
72	21	4	25	32	18	0.548922	
73	1	32	32	4	31	0.484944	
73	1	32	32	4	31	0.481975	
73	1	32	32	4	31	0.483934	
74	33	36	5	21	5	0.469937	
74	33	36	5	21	5	0.475961	
74	33	36	5	21	5	0.47099	
